SMILES,Prediction,Affinity,Distance
C1=NC(NCc2cccnc2)=C2C=C(NC3CP-3)CN=C12,0.843200065,-10.1,0.880616956
O=COCCCCNC(=O)OC=C1C=CC-c2c(Nc3ccc(F)c(Cl)c3)ncnc21,0.848043822,-10.2,0.880833507
NC(=O)C1=CN=C2C=CC(C(=O)C=CCC=CCS)=CC2N1Cl,0.84804385,-10.2,0.880833534
COc1c(C2C=CC(O)=CCCCO2)ccc(OO)c1O,0.852606676,-10.3,0.881090722
CCOC(=O)CCCNC=CC1=C(CCl)CNC(OC=O)=C1,0.828006094,-9.8,0.881220172
C=CCNC1=CC2=C(N3CC=C(N)C(C)C3Cl)CNC(=C1CCCN1CCOCC1O)C2,0.828100448,-9.8,0.881308829
C1=CC=C2C(CN3C=CC=C4CC=CC2(C=N3)S4)OCC=C1,0.828117218,-9.8,0.881324587
CON=C(C)c1ccc(N(C)C2=C3C=BCC4=NCNC3=CC4=C3C(=O)NCC3=C2)cc1,0.84858284,-10.2,0.881352471
COC1=CC(=NC=N)C(=Nc2cccc(Br)c2)C=C1OC,0.83911833,-10,0.88143853
COC1=CC(C=O)=CC12C1=CS2=NC=NB-1NCc1ccccc1,0.848863161,-10.2,0.881622373
CNC1=CC(NC2=CC=C(Cl)CN2C2=CC(c3cccnc3)=N2)C=CC=C1,0.839874158,-10,0.882158099
CC=CC1=C2C=C3C=C(SCC=CN=C1N3)C(OC)=CC2,0.829051402,-9.8,0.88220243
CN(CBr)CC=CC(=O)C1=CC=C2CC(=NC=N2)NC2=C(COC=C2)C1,0.839964524,-10,0.882244134
CCC=CC=C1CNC=C1CCN(N)c1cncnc1N,0.867888713,-10.7,0.882284581
C=C1NC(C)CC(=CN=C=CCl)OCC1C=CSCNN=Cc1ccnc(C)c1,0.840088485,-10,0.882362156
CC(F)=CC=C1CCN2C(=CNC3C=C3Br)N=CN=C2BO1,0.865138225,-10.6,0.882581677
COCCOC1=CC2C=NC(Nc3ccc(F)c(Cl)c3)C(=C1NC(=O)C=CCN(C)N)C2,0.850040562,-10.2,0.882756082
C#CCCC(OC(C)C#S-O)=C1OCCOC1=C1CN=C-N=C1Nc1ccccc1,0.835462744,-9.9,0.882966958
C=CCC=CC1=Cc2ccc(C)cc2CNc2cncnc2N=CC=C1,0.830155347,-9.8,0.883239945
C=C(Cl)C=CC1=C=C1NC=NCC=C1C=NCOC1NCNCCC,0.850682381,-10.2,0.883374131
COCCCC(C)=CSN(CN=CN)c1ccc(C)cc1,0.846167975,-10.1,0.883459176
CCOCCCCN1C(=O)OC(=O)C1=CC=C1CC(C=CCOCC2C=CC(Cl)=CN2)N1,0.85906234,-10.4,0.883497651
C=C(CC)C(Sc1ncnc(NC(C)(C)C=CC)c1C=O)=C(C=CC(=O)OCC)OC,0.859103226,-10.4,0.883537406
CCON=C(C)c1cc2cc3c1C1CNC(=O)C1=C1C(=c3n2C(C)C)CCc2nn(C)cc21,0.855150901,-10.3,0.88355293
IC=CNC1=C2C=C2OCC(OCc2ccccc2)=CC=NC=N1,0.83056254,-9.8,0.883622676
COc1cc2ncnc(N3CCC4=CC=C3C#P-4)c2cc1OC,0.851120767,-10.2,0.883796301
B-C(C=Nc1ccc(NCc2cccnc2)nc1)=CNC(C)(C)C#N,0.855641116,-10.3,0.884027395
COCCOP-C1=C2CC(=NC=N2)C=C1OCCOC,0.831033608,-9.8,0.884065472
N#Cc1cnc2cnc(NCC3=NCC3)cc2c1NC1CCCCC1,0.866797812,-10.6,0.884208525
N#Cc1cnc2cnc(NCC3=CP-CN=C3)cc2c1NC1CCCCC1,0.847458986,-10.1,0.884695771
COC1=CCC(=C(CN=CN)N(C)CC=CC=CC=O)C=C1OC,0.812881997,-9.5,0.884715895
COCC(O)NN1c2c(O)ccc3c4c(n(OF)c23)CNC=CC(O)C(=C4)C1C,0.83731196,-9.9,0.884716888
C#S-C=NC=NC(=CC=C1C(=C)OCCN1C1CCOCC1=O)N1CC=C(C)CC1F,0.837427728,-9.9,0.884826453
CB-C1=CC2=C3N=CC2C=C1OCN1CCN(C=NC(CC)C=C3Cl)CC1,0.85229093,-10.2,0.884923258
CNC(=O)c1cc(C2=CC=CNC(C)(NC=CBC(C)C(F)(F)F)C2=O)ccn1,0.852385186,-10.2,0.885014038
Cc1ccc(NCC-C=CF)cc1ONc1nccc(-c2cccnc2)n1,0.847829441,-10.1,0.88505064
CP-c1cnccc1C1=CNCC=C(CCN=NNc2ccc(F)cc2)C=C1F,0.832165869,-9.8,0.885129897
CCOc1ccccc1NC1=CC(NC2=CC=CC3(CCN(C)CC3)C2)C(=O)BC=C1,0.852852576,-10.2,0.885464205
Cc1c(N=CNN=CC=C(F)CCl)cc2c(c1OCC1CCCO1)OCCO2,0.86483426,-10.5,0.885561673
CC(F)=CC=CNc1ncnc(C=C(Cl)OCCCN2CCOCC2)c1C,0.838245465,-9.9,0.885600425
CCC=C(COCCO)C(=O)C=CCN(C)C1CC1C,0.833030987,-9.8,0.885943297
CNC1=B-CCN(c2nccc(C3=C(C)CN=CC3)n2)C1,0.833157749,-9.8,0.886062489
NC=NC=NC1C2=CC(=C2)c2cccc(c2)OC1C1CCCO1,0.844081887,-10,0.886165077
O=C(C=CCNC1CC1)NC=CC1=CC(CNCC=CC#CI)=C=NC=N1,0.821195104,-9.6,0.88626887
C-c1cc(NC(Cl)=C2C=C(OCCCN(F)CCO)C(SO)=CC2)ccc1F,0.814693917,-9.5,0.886380986
CCCC=C(CC)NC(=C(C#N)C=N)C1C=CN=CNCC2=NC21,0.853816364,-10.2,0.886392535
C=C(COC1C=Cc2c(NC=CCCCl)ncnc21)NCCN1CCOCC1=O,0.839188527,-9.9,0.886493112
COCC(=CC1=NC=NC2(N)C=CC=CC(Cl)CCC1=C2)OC,0.827921494,-9.7,0.886698964
COC(=CC=NCNC1=CC(C)=NNCO1)NC=C=Cc1c(N)cccc1C=CN,0.844711872,-10,0.886765165
COC1=CC(=CN-N=CN)CC=C1OCCN1CCN(C)CC1,0.828006091,-9.7,0.886777954
CN1CCC2(C=CC=NC1)C=CN=CC2N1C=CC(Cl)=CC1,0.849851546,-10.1,0.886987894
CCOC(=O)CCCN1COC2=CC(=NC#N)CC=C21,0.849985825,-10.1,0.887116552
CCOC(=O)CCC1COC2=CC3C4=CC=C(NN)CCC35C=NC(B4)C(=CN21)C5,0.866456728,-10.5,0.887146234
ClNC1C=CC=NC2=NC(Nc3ccc(Cc4ccc(Cl)cc4)cc3)=C21,0.850040694,-10.1,0.887169125
Cc1ccc(F)cc1N1C2=CN(C3=NC=NN(O)C3=CCN3CC(NC(=O)CO)CC23)C1C,0.872895496,-10.7,0.887210127
COC1=CC2=C(N3C=CC=CCCC3)N=CN=CC2=COC1,0.828683247,-9.7,0.887410264
C=C1CNCCC1OC1C=NC=NC(CCl)=C(CF)C-1OC,0.845414541,-10,0.887434537
Cc1ccccc1CNN=NC1=CC(=O)c2ccccc2C1=O,0.822458761,-9.6,0.887439871
C=CC(=O)NC1=CCC(N=CN=CNc2cc(F)c(Cl)c(Cl)c2)=C=C1,0.86682277,-10.5,0.887503743
O=C1NC=CC=CC=CC=CC=CC(O)=CC=NC1O,0.840298261,-9.9,0.887543701
C=C(C)NC1=CC(Br)CN=C1C=COC1CCOC1NCC1=NCC=CC1,0.859377076,-10.3,0.88764389
C=C(NC=C1C=C(C)CC(Nc2nccc(-c3cccnc3)n2)=C1)c1ccccc1OC,0.822752791,-9.6,0.887712378
C=CCN1C=C(NC=C2C=CN-C=C2OC)C=CNC(=O)C1C=O,0.835127947,-9.8,0.887915305
NC1=NC2=C(Br)CCC=C2C=C(C=C2C=CC=C2Cl)C=N1,0.840721254,-9.9,0.887944187
C=C1C=CCOC(C(N)C=O)=CC(=CC=N)OC(CF)C(Cl)=CC=CC1=O,0.829362656,-9.7,0.888044745
C=C(OC1C=CC2=NC=NN(C3C=CC=NNCN(C=CC)C=C3)C2=C1)C(C)N(C)O,0.851007461,-10.1,0.888095475
C=CC(=O)NCC(=CC=NC=NC(F)(F)NNC=C1C=C=CC(CF)=C1)OCCOC,0.809597681,-9.4,0.888105482
C-C1=C(COC)C(OC)=CCC1=C(N)Nc1cccc(Br)c1,0.846137254,-10,0.888123057
C=CC(NC(N)OC=CCNC)C(=CC(=C)F)C(F)F,0.846223698,-10,0.888205414
C=CC1NC=NC=NC=NCNCC=CCNCCO1,0.884681237,-11.2,0.888234038
CNCCC1=CN=CC=CCn2ncc3cc(ccc32)C=NC=NNC(C=CN)CC1,0.846268993,-10,0.888248568
CC=C(NNc1cccc(Br)c1)C(=CC=CN)NC(=O)C=CC(=O)O,0.860399713,-10.3,0.888633998
CC(Nc1ncncc1C=C1C=C=C(C(=O)NCCN(C)C)C=C1S)C1=CC=CC1,0.851657035,-10.1,0.888717941
CON=Cc1c(N)nc-nc1Nc1ccc2c(cnn2CC=C(C)F)c1,0.868106241,-10.5,0.888757349
Cc1ccccc1CCC(O)C1C=CC2=CC=NC1=CO2,0.846861376,-10,0.888812973
COCCOC=Cc1cc(NC=CC=C(F)OCC=C2C=C=P-C=C2)ncn1,0.851787338,-10.1,0.888842811
O=CCN1C2CC3(C=CC(C(F)(F)F)=CC3)N1c1ccc2cc1,0.851842441,-10.1,0.888895617
OCC1C=CC2(C=C1)CC=CC=CCCC(=NC=NO)S2,0.856487554,-10.2,0.888965844
C=C(C#N)CC=NCC1=CC(NC(=O)C=BCCO)C=CC1,0.830449391,-9.7,0.889059753
FC1=CC=CNC2=C=C(C=C1Cl)C1=C(CC=NC2)COC=C=COC1,0.83056262,-9.7,0.889165518
CNC=CC=Cc1ccnc(NC2=CC(S(=O)CCCN)=CC2)n1,0.842187522,-9.9,0.889332601
CCC1=C2N=C-CC(Br)=CC(=NC=N2)CC(CC)(OC)OC1,0.831271424,-9.7,0.889827643
C-C1=C(CCCNC(=N)C=CC2=C(O)CN(C)C=C2)CC=C=C1,0.818545999,-9.5,0.889922821
C=C1C(NC=O)=Cc2c(Nc3ccc(F)c(Cl)c3)ncnc21,0.852982666,-10.1,0.889988372
CN1COC(=C=CO)C1=Cc1cncnc1Nc1ccc(Cl)cc1,0.883060231,-11,0.890023062
CON(C=CCN1CC(F)(F)C1)C1C(C2CCOC2)=Cc2ncnc(NCC=CCl)c21,0.843172312,-9.9,0.890265242
CCC=CC1CN2C(C=O)=CC(=O)N3C=C(C)C4=CCCC2(C1)C43,0.853400905,-10.1,0.890389229
CC1COC2C=CC=CCC3=CC(CNC=C=O)=C=C=C3NC(O1)C2N(C)C=O,0.8191237,-9.5,0.890454216
OC1=CC=C(NS-c2ncc3c(n2)C2=CCC(CCl)=C2SC3)C=CC1,0.862794208,-10.3,0.890952615
CPc1cccc(NN(C)CC=CC(=C=N)c2cc(NC=O)ccc2N)c1,0.849338322,-10,0.891173326
C=CC=C(C=NN)C1=NC=c2ncc(C#N)c(NC(C)(C)CC)c2=S-1,0.84940285,-10,0.891234825
CC1=C(O)C1CCOC=Cc1cc(Nc2ccc(Cl)cc2F)ncn1,0.859054007,-10.2,0.891438797
CS(=O)(=O)CCNCCCCOC1=CC=C2CC(=NC=N2)Nc2cccc(c2)C#CC1,0.838919203,-9.8,0.891482097
Fc1ccc(Cl)cc1Nc1ncncc1C=COCCCN1CCOCC1,0.884681142,-11,0.891631315
COc1ccccc1CNCC1=CC2=COC(=NCCl)NCC2=CC1,0.827368381,-9.6,0.8919919
CCC12CCON=CC(Cl)=CC=CC3=NC(N)C(=CC3=C3OCCOC31)CO2,0.833610504,-9.7,0.892013187
Fc1ccc(C(Cl)=NC=NC=CC(OCC2NCCO2)=C2CCOC2)cc1,0.850644144,-10,0.892417935
C#CC=CC(=O)Nc1ccc(C)c(Nc2nccc(-c3cccnc3)n2)c1,0.86825604,-10.4,0.89243966
COCC=CN=CC(C#N)=C(C=CCC1C#CCN2CC1C2COC)NCBr,0.834151904,-9.7,0.892519161
COCCOC1=CC=NC=NCN=CC=C(F)C=CCOCCOC1,0.855943824,-10.1,0.892826805
COCCn1c(=O)oc2c1=CCC(=NC1=NC1C-c1ccc(OC)cc1)C=2,0.846140176,-9.9,0.893076621
CN(C)CC1=CC1NCC=CC(=CC(C#N)=CNc1ccc(F)c(Cl)c1)ON,0.846144316,-9.9,0.893080543
C=C(O)C(O)=CC=CC=C(C#N)CC=NC(C#N)C#N,0.840720187,-9.8,0.893177101
CNC=NC(C)=NCNC1=NC=Cc2cccc(Cl)c2NC(=O)CS1,0.876081082,-10.6,0.893310881
COc1cc2c(cc1OC)=C(OCC1=C(Br)C=CPC1)CN=2,0.860998831,-10.2,0.893313119
CC(=O)N1CCC=CC(=O)NC(C)CC2=NCN(NC2)C2=CC=C(C2)C1,0.851907084,-10,0.893621839
N=C(N)SCCCNC(=O)C1=C(C=O)C2C=C(NN2)c2cccc3ccn1c23,0.865652492,-10.3,0.893720847
CC1=CC=C(NC=N)CN1C1C=CC(CC=NC=CCI)=N1,0.865685108,-10.3,0.893752439
CCC(C)(P-C)C1=C(C#N)N(N)c2cc1cc(Nc1cccnc1)n2,0.852880352,-10,0.894549722
C=CCCCCNCC=CB-C=CNSc1cncnc1Nc1ccc(F)c(Cl)c1,0.852928124,-10,0.894595269
C#Cc1cccc(NC(CC2=C3OCCOC3CCOCCOC2)=NC=N)c1,0.830429707,-9.6,0.894832168
CC1=CCN(c2ncnc3c2C=C(C)C3OCO)C=C1,0.84807584,-9.9,0.894910768
Fc1ccc(NCN=CN=C2CC3=C2C=C(CCN2CCOCC2)OC3)cc1Cl,0.830562543,-9.6,0.894955445
O=C1NC(=O)N(CC2=C=C(O)CC(O)=C2)C2=C=CC(I)=CC12,0.830624111,-9.6,0.895012584
C#CC=CC=CNC(Br)NC(C=CCOc1ncnc2c1C1(CCCC1)S2)=CC,0.880954221,-10.7,0.895139991
C=Cc1cccc2c1C1=CC(C3CCC3C)CCN2N=CN=C1,0.830799722,-9.6,0.895175563
C#CC=c1ccn2c1=CCCCC=CCN(C)C(C)=CC2NCCCSC(=O)N=O,0.853659847,-10,0.895292938
CCOC(=O)CCCn1c(C2=CN(c3ccc(COCC4=C(C)C=C4)cc3)N=CN2)coc1=O,0.863384949,-10.2,0.895613149
OC1=CCC2(Cc3nnc4ccccc4n3)N=CN=CC=C2C1,0.843343738,-9.8,0.895647007
FCC1=C(F)C=C(Cl)CC23N=CN=CC2=COC(C2CCNCC2)C3OCN1,0.831479299,-9.6,0.895806305
C=CC(Br)N(OCCNC)C1=C(c2cncnc2C(C=C(C)N)=CC)OC=NC1,0.859054079,-10.1,0.895809011
CC1=C(SP-2=C=CC2)CC=NC1Nc1ccc(C=N)cc1,0.859054174,-10.1,0.895809102
C=COCOC(C=NC=NI)C(=C)NC(=O)C1CCCN1,0.863596589,-10.2,0.895817175
CCOC(=O)CCCn1c(=O)oc2c1=CCC(=NC=NCNc1cccc(O)c1)C=2,0.849075105,-9.9,0.895857794
N=C(N)SCCCN1C(=O)C2=C(C1=O)n1ccc3ccc4c(c31)CN2C=C=CC4,0.849075142,-9.9,0.895857829
B#CN=CN=C1C=C(OC)C(O)CCCN2CCOCC2=CC1,0.825070336,-9.5,0.895927527
COCCCCC=CN=CCC1=CN=CCNc2cc(Cl)cc1c2,0.83794238,-9.7,0.896062769
NC1=C2CCCCN2CCCOCC2C=NC=NC1(CC=CCCCl)CO2,0.854467403,-10,0.896062974
C=C(Cl)C1=CC=CNC2C=C3C(=CC(=NC=N2)C1)OCC(=O)N3CCCN1CCOCC1,0.831926357,-9.6,0.896221275
C#CC1=CC=CCNCCS-Oc2cc3ncnc(c3cc2NC(=O)C=C)C1,0.85463503,-10,0.896222821
CCC1=C(C2=C=C-C(C(N)=O)C=C2OC)Sc2ncnc(c2C)NC1CO,0.854635039,-10,0.89622283
CC=C(C=COc1ccnc(C(=O)NC)c1)NC(=O)Nc1ccc(Cl)c(C(F)(F)F)c1,0.85475633,-10,0.896338493
C=CC=C(C=NNc1nccc(-c2ccncc2)n1)OC(F)(F)C(F)F,0.85475644,-10,0.896338598
CC1=CC=CN(c2ncnc3c2C=C2COCB=C3N=CC=CN(C)C2)C1F,0.825652276,-9.5,0.896463471
CN=CC1C2=CC1=C(C#N)C2NCC=C(C=C=COC)NC(C)=O,0.838443234,-9.7,0.896531154
C=CC=C(C=CCl)C1N=CN(CN=C)C2=CC(=CN1)C=CN-2,0.825846573,-9.5,0.896642424
COC1=C=C2C(=NC=C1)CC2Nc1cc(OC)c(OC)cc1OC,0.825846634,-9.5,0.89664248
CC1(C)CC=Cc2cc(N3CCOCC3)ccc2NC1=O,0.872578178,-10.4,0.896645232
CCOC(=O)CCCN1COC2=CC(=NP=C=NCNC(C)=O)CC=C21,0.849985819,-9.9,0.896720996
C=CC=C1C=CC2=C(NCCN2)N2C=C3C=CC2C(O1)C3=CC=CC,0.844512695,-9.8,0.896747786
COc1cc(N(C)CCN(C)C)c(NC(=O)C=CN)cc1C1=NC=CCC2=CN(C)C21,0.850040583,-9.9,0.896772906
C=CC(C(C)=NOCC)c1c2cc3c4c1NNC=C2C4CC#C3,0.850040604,-9.9,0.896772926
C=COc1ccccc1C1C=CNC(=O)CC(=O)NC2C=CN3CCCN(CC=C21)CC3,0.850131336,-9.9,0.896858931
C1=CC2C=CC3=NC=NCN4CCN(CCCOC(C2)N3CC1)CC4,0.872836704,-10.4,0.896896821
NC=CC(NC1=CC(NC(=O)c2ccncc2)=S=C=C1)c1cccnc1,0.844711949,-9.8,0.896935437
O=C1NC=CN(CC2N=CC=CC2Cl)CSC(=O)N2C=CC=C=C12,0.855630622,-10,0.897172265
